"","revisit_code","num_revisit","decision_time_code","decision_time","other_country","purpose","motivation1","motivation2","motivation3","path_get_inform1","path_get_inform2","path_get_inform3","companion","num_companion_code","num_companion","activity1","activity2","activity3","prefer_activity","visit_place1","visit_place2","visit_place3","visit_place4","visit_place5","visit_place6","visit_place7","visit_place8","visit_place9","visit_place10","visit_place11","visit_place12","visit_place13","visit_place14","visit_place15","visit_place16","visit_place17","visit_place18","visit_place19","visit_place20","visit_place21","visit_place22","visit_place23","visit_place24","visit_place25","visit_place26","visit_place27","visit_place28","visit_place29","visit_place30","visit_place31","visit_place32","visit_place33","visit_place34","visit_place35","visit_place36","visit_place37","visit_place38","visit_place39","visit_place40","visit_place41","visit_place42","visit_place43","visit_place44","visit_place45","visit_place46","visit_place47","visit_place48","visit_seoul","visit_inceon","visit_gyeongi","visit_gangwon","visit_daejeon","visit_chungbuk","visit_chungnam","visit_sejong","visit_gyeongbuk","visit_gyeongnam","visit_daegu","visit_ulsan","visit_busan","visit_gwangju","visit_jeonbuk","visit_jeonnam","visit_jeju","visit_etc","period_code","period","prefer_visit_place1","prefer_visit_place2","prefer_visit_place3","shopping_goods1","shopping_goods2","shopping_goods3","shopping_place1","shopping_place2","shopping_place3","satisfaction","revisit_intention","recommend_intention","image_korea_before","image_korea_after","type","accomodations_hotel","accomodations_guesthouse","accomodations_condo","accomodations_friend","accomodations_official","accomodations_temple","accomodations_homestay","accomodations_etc","accomodations_no","total_pay","total_card","total_cash","pay_accomodations","pay_agency_abroad","pay_shopping","pay_eat","pay_transportation","pay_entertainment","pay_agency_kor","pay_culture","pay_exercise","pay_etc","daily_pay","date_survey","nation","city","gender","job","age","area_total","site_total","spring","summer","fall","winter","satisfaction_index"
"24",1,0,1,1,1,1,1,2,10,3,2,5,4,2,2,1,18,11,18,124,125,132,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,125,124,132,5,10,NA,2,9,NA,4,4,4,3,4,1,1,0,0,0,0,0,0,0,0,2291.73828348802,1234.01292187817,1057.72536160986,969.581581475703,0,264.431340402464,440.718900670774,352.575120536619,264.431340402464,0,0,0,0,286.467285436003,10,2,202,1,4,1,1,4,0,0,1,0,2
"33",1,0,1,1,1,1,1,2,3,1,2,3,4,3,10,1,18,2,18,1,2,4,6,8,13,16,17,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,8,20,5,11,12,3,5,9,4,4,5,5,4,2,1,0,0,0,0,0,0,0,0,2000,0,2000,0,1000,1000,0,0,0,0,0,0,0,333.333333333333,11,19,5208,1,3,2,1,10,0,0,1,0,1
"44",1,0,1,1,1,1,1,2,3,3,4,6,4,3,17,1,17,18,18,1,3,4,5,6,8,9,10,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,16,1,9,18,3,4,8,4,5,5,4,4,1,0,1,0,0,0,0,0,0,0,406.62,0,406.62,112.95,0,112.95,90.36,45.18,0,33.885,11.295,0,0,81.324,4,7,5001,1,1,2,1,10,1,0,0,0,3
"63",1,0,1,1,1,1,1,2,4,2,3,7,4,2,2,18,1,2,18,1,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,11,5,4,6,NA,9,NA,NA,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,500,250,250,100,0,200,100,100,0,0,0,0,0,250,10,14,1775,2,5,1,1,3,0,0,1,0,3
"64",1,0,1,1,1,1,1,2,4,2,4,3,4,3,5,1,2,4,2,9,10,14,16,17,5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17,16,14,5,10,NA,6,7,10,4,5,5,5,5,1,0,1,0,0,0,0,0,0,0,2715.86916300307,848.70911343846,1867.16004956461,848.70911343846,0,1273.06367015769,424.35455671923,169.741822687692,0,0,0,0,0,387.981309000439,2,5,507,2,3,1,2,7,0,0,0,1,3
"80",1,0,1,1,1,1,1,2,4,9,NA,NA,4,3,3,3,2,4,4,125,128,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,125,128,133,3,5,10,3,9,NA,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,438.77,287.47,151.3,136.17,0,151.3,75.65,75.65,0,0,0,0,0,109.6925,10,2,337,1,7,3,1,3,0,0,1,0,2
"120",1,0,1,1,1,1,1,3,5,3,1,NA,4,3,11,1,9,18,18,1,2,4,5,8,13,16,28,48,124,132,133,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,124,48,16,4,6,9,2,3,7,5,5,5,5,5,2,1,0,0,0,0,0,0,0,0,1762.8756026831,0,1762.8756026831,0,881.437801341548,881.437801341548,0,0,0,0,0,0,0,352.575120536619,10,19,5208,1,4,2,4,13,0,0,1,0,3
"124",1,0,1,1,1,1,1,3,7,2,3,NA,4,3,4,1,18,2,18,3,4,5,8,10,13,14,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,17,3,5,6,10,7,10,NA,4,5,5,3,5,3,1,0,0,0,0,0,0,0,0,801.9,534.6,267.3,0,338.58,267.3,178.2,17.82,0,0,0,0,0,200.475,5,1,2,2,4,2,1,9,1,0,0,0,3
"137",1,0,1,1,1,1,1,4,12,3,2,1,4,3,12,22,20,1,22,5,8,9,24,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,9,5,119,3,5,NA,5,6,7,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,1500,0,1500,700,0,400,200,100,100,0,0,0,0,375,6,17,5009,1,10,5,3,5,0,1,0,0,3
"147",1,0,1,1,1,1,1,4,2,2,3,4,4,2,2,7,2,1,7,4,5,8,20,847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,5,20,4,5,10,1,3,7,4,5,5,4,4,1,1,0,0,0,0,0,0,0,0,3048,3048,0,914.4,0,1524,609.6,0,0,0,0,0,0,762,9,2,201,1,2,1,2,5,0,0,1,0,3
